,python-version,libfabric-version,openblas-version,phist-version,cmake-version,mpich-version
7ix6jhjmfhv6nz4k4mkshgxdkosjdkni,3.6.7,1.14.0,0.3.15,1.9.6,3.16.6,3.4
7os6vml7rcddgyluwibug46fzrgdegxs,3.8.4,1.14.0,0.3.6,master,3.15.0,3.4.1
azomftthpwdlykplntm5qpfqyrwkj3lg,3.5.5,absent,0.3.16,master,3.17.5,3.1
bfjzmrjabxnncsqlclxkl6kpftcnlczd,3.6.2,absent,0.3.14,1.9.6,3.14.5,3.1.1
bgawvoqku2lrpn6dvwumf4xppcj6gtdj,3.8.4,1.14.0,0.2.16,master,3.18.2,3.4.1
buflblomrjwgeuvawlbjmyzi7wttfcaf,3.5.10,absent,0.2.17,master,3.20.3,3.1
c2s47aypfxsfped7jtxqalnvtbfkq5hb,3.6.13,1.14.0,0.3.6,master,3.13.4,3.3.1
csqzwtwksph5grwewokbmrntjqcunngk,3.7.10,absent,0.3.11,master,3.11.1,3.1
cw473cvcckext6vmoxnywp6yhxk7bnml,2.7.17,1.14.0,0.2.19,1.9.5,3.14.7,3.4.1
dcdipbhuad4ucwctknf2vj34hnc6cg2p,3.5.5,1.14.0,0.3.8,develop,3.19.0,3.4.1
ddulhjwriemtx5fxtknpveziv7ytlz2k,3.8.9,1.14.0,0.3.17,develop,3.16.3,3.4.1
dm6aj6tmihwqax7yrco5lh3ja7nseqdf,2.7.17,1.6.2,develop,1.9.0,3.15.1,3.2.1
dq3xvbvzdg2uwnovmtub6a4wbdkg3ixu,3.7.7,1.14.0,0.3.14,master,3.19.3,3.4.2
dssnqlnjiiz42vhfvlkhwckyumxyyvjx,3.5.5,1.6.2,0.3.8,master,3.21.1,3.2
e3pfwkpc22nbai3lignxrzcvopygezzu,3.6.13,1.6.2,0.3.10,master,3.10.0,3.2.1
e5xrp2lnjb3tco2ixmjpldhrda3za6sl,3.4.10,1.14.0,0.3.9,master,3.13.4,develop
ebexgwkfh7lhvthksaf64b5iaq5fh7se,3.9.1,1.14.0,0.3.5,1.9.6,3.14.2,3.4
ei72n5kfvwpv6xtqgqy6n2msjjplpwx6,2.7.13,absent,develop,1.7.3,3.15.0,3.1.2
ep2xqoltf3yrs7ucvzdki5xllspxgtvn,3.8.11,1.14.0,0.2.15,1.9.6,3.11.2,3.4.1
er54pqe46qjd4i32ygd2hcbupbrb5xpr,3.4.10,absent,0.2.18,master,3.19.8,3.1.1
evpqx5jrh2yohgtopww3uovm6evdje2a,3.1.5,absent,0.3.17,1.9.2,3.8.1,3.1.1
eyws4jz2tsu75lggmkq42kr24df5sc4s,3.7.6,absent,0.3.18,master,3.15.3,3.1.2
f42cad5vpyq2sitiwpfyhf42jlbir45n,3.8.3,absent,0.3.12,develop,3.19.5,3.1.2
f6lsi3bbinlicpzn2vw32rjc476sexks,3.6.12,absent,0.3.8,master,3.15.2,3.1.3
fa26srhiqbluqr6cd3yvogpjk6n6npxs,3.6.10,1.6.2,0.3.7,master,3.16.7,3.2
fmmmbme2syckszocaaj23tppotltmixa,3.4.10,absent,0.3.9,1.9.6,3.15.0,3.1.1
fsmjsj47omhp2ye2gibjkdeblrjkhsza,3.1.5,absent,0.3.14,1.9.4,3.19.0,3.1.1
fxh3b4royp7ij67k5q5xfrl5tzsbxxuy,3.9.6,1.14.0,0.3.8,1.9.6,3.19.3,3.3.2
gcfsxjclb6ymfwh5trlvk4dxsf66g34o,2.7.10,1.14.0,0.3.8,1.7.5,3.18.0,3.4.1
gki3ldhvw72hiydgd2sgs33dzjkskb5s,3.9.4,1.14.0,0.2.15,develop,3.14.3,3.4.1
heuyn3n6viwgleivmf5bttipdhmvz46s,3.6.3,1.14.0,0.3.17,master,3.9.2,3.3.2
hhstufonwsgurffsvu2z24wwumbrdelo,3.9.2,1.14.0,0.3.17,develop,3.17.3,3.4.2
hj47k73wva4ogueadnhkpnvh47dy36fe,3.6.7,1.14.0,0.3.12,1.9.6,3.19.8,3.4.1
hxvsx7gzzteazypewtw4oubotdw3xv4k,3.1.5,1.14.0,0.3.8,1.7.5,3.16.4,3.4.2
i5tjthu4arqkqcwuc5nhgxsiov5setgp,2.7.16,absent,0.3.16,master,3.11.4,3.1.1
iq2cqyhdy6osvghnomnckku65eihhq2k,3.6.0,absent,0.2.19,master,3.12.1,3.1.1
iqbwx6doqjzo6ifkmfd2dzptajavuklu,3.6.7,1.6.2,0.2.19,master,3.15.6,3.2.1
j3fzyn6lh5be3itg6jjzw6rqpdbpy33i,3.6.11,absent,0.3.6,1.9.6,3.14.7,3.1.1
j7zal2ixboewldi3telwt2zwsvkudokd,3.6.8,1.14.0,0.3.7,1.9.6,3.16.3,3.3.2
kgukuq5mql3vrhezzmebelccd3gzjrzq,3.1.5,1.14.0,0.3.8,master,3.14.7,3.3.1
kigvflzc3sfw34hzey5jr34k6wf2aqx7,3.6.6,1.14.0,0.3.11,develop,3.13.2,3.3.1
kznyulehg7yqmhtudhijqpo3xxeldnmg,3.5.7,1.14.0,0.3.16,1.9.6,3.17.4,3.3.1
lfhlxbxkw2v2c5ck7flucwbnelzzaygq,3.7.3,1.14.0,0.3.9,master,3.15.6,3.4.2
ljucxbwsxtnspihapwjodt2kmhl6axgu,3.7.7,1.6.2,0.2.18,master,3.15.2,3.2.1
mak5mi44r5rr6xdc5hoxqad4ylx3hkyb,3.9.2,absent,0.2.15,master,3.19.3,3.1.1
mc4vp7j7pwte23ifkevmog42ayom7lkg,2.7.17,1.6.2,0.3.17,1.9.1,3.19.0,3.2.1
mccu4oar3abrvuxocal4pht7qjzje5cz,2.7.13,1.14.0,0.3.15,1.7.5,3.18.5,3.4.1
mf2pbshnw7srd5lkanf3evyry6tavn2x,2.7.17,1.14.0,0.3.16,1.7.5,3.15.7,3.4
ntfa24sqdrdytl4ybo2jjfuzsyi34m7i,3.5.1,1.14.0,0.3.18,master,3.19.6,3.4
o5i5lnqrapvkzisyv24puakp6n4txsgh,3.8.7,absent,0.3.13,1.9.6,3.9.0,3.1
ogo35vw272xfcprcb5sa3mpmdkkcgoh6,3.3.6,1.14.0,0.2.16,1.9.6,3.14.2,3.3.1
p6nk6kkacpbvolrs3cxoo5stdn4gmi5r,3.1.5,1.14.0,0.3.8,1.9.5,3.13.0,3.3.1
pbsnfgt3656yv7rzbnssozh7sck47yub,3.5.5,absent,0.3.6,master,3.20.0,3.1.3
pfaw2r6kmtmzlnyw7ojback4m5mue2df,3.7.5,1.14.0,0.3.8,develop,3.17.5,3.3
pfbrm7bncf4yzzys6hfcasezxq6ptbt3,3.5.3,absent,0.2.16,develop,3.19.3,3.1
powaj64y4uvcabhtg4yo2avkhrtxegs6,3.7.4,1.14.0,0.3.18,1.9.0,3.9.0,3.4.1
q5sabfqelp4yot7mv53cearo4a6oxml6,3.6.9,1.6.2,0.3.8,master,3.19.7,3.2.1
qaglp3aonbetfgjolxk7o4bh7ua4f7nn,3.6.11,1.14.0,0.3.7,1.9.6,3.14.5,3.3.1
r4e565bly3d2mbmttihcqujyacwvrzew,3.5.1,absent,0.2.16,master,3.20.2,3.1.2
rdechim7yu7ziq4st464cq7fmt3mjkuq,3.7.4,absent,0.2.19,master,3.15.0,3.1
ri3sw6oqprggk27m25phvlefcdfessbr,3.7.5,1.14.0,0.2.17,master,3.15.5,3.3.1
rlcl4tcka2hncikg5mnjr7lmuhm5mvmy,3.7.4,1.14.0,develop,1.9.6,3.19.6,3.4.1
ryismkashgtdu2kxpnz3uuhqgwfldhaz,3.8.11,1.6.2,0.3.6,develop,3.10.1,3.2
s3te7lnnoujzqepqnql6mn2qfd4kchwd,3.7.9,absent,0.3.10,1.9.6,3.9.2,3.1.3
s7h44fjtpodvtdpfjnewkdd435vtjrov,2.7.16,absent,0.2.18,1.7.3,3.16.2,3.1
sfiglx6tkpvdfwwcegae7tyz2z2ryczf,3.9.4,absent,0.3.9,develop,3.14.7,3.1.2
sgrsbisrrzfaqvhe3bok3vm7azgr247g,3.7.5,1.14.0,0.3.5,1.9.6,3.10.3,3.4.2
sni63ocmam672h4w6anhbdr5mx6nvo2g,2.7.8,absent,0.3.8,master,3.19.6,3.1
snlgt7sbw2iidhlxpsxoofnkbma2fl5l,3.8.7,1.6.2,0.3.12,1.9.6,3.10.2,3.2.1
swlk6em2jshivukzwoakk4hkuu4ovxvu,3.8.4,1.14.0,0.3.7,master,3.13.2,3.4.1
swomafukrmjqap2g5svltvlkre6eael7,3.5.3,absent,0.3.17,develop,3.17.0,3.1.1
taetxzhwnpv5vzsjyue3jrimz3ag2mdd,2.7.17,1.14.0,0.3.11,1.9.3,3.17.1,3.3.2
tcykevuiouls3s3rq5cb3waoeixalesr,3.8.2,1.14.0,0.2.19,develop,3.18.2,3.3.1
tgcmpl6jns2svscx3jnuqj33c5tilf2e,3.6.0,1.14.0,0.2.18,develop,3.10.3,3.3.1
tkvffkomymbjck2kalf4kjgopjkk3ala,3.7.6,1.14.0,0.3.18,develop,3.19.6,3.4
ts3tw3esdca64r3p3ffg357iuj7hqqj7,2.7.11,1.6.2,0.2.17,1.9.3,3.15.6,3.2
twmxiqxh2v6ixtcfx54hpcxievylewms,3.8.7,1.14.0,0.3.18,develop,3.11.2,3.3
u4ezpoau4hrk4evuwm7v6fcshfmj4rtg,3.8.8,1.14.0,0.3.15,master,3.18.0,3.3.2
uhznalnzedjaset6s3gvbeb3x5bauvrh,3.6.2,absent,0.2.20,1.9.6,3.11.1,3.1.1
umnhfbsval6lam6fejgjd47fham6eoqp,3.6.10,absent,0.2.16,master,3.12.0,3.1
uq65tc7a6pd5jsrtkftfbo7l2zkc3oyb,3.1.5,absent,0.3.5,1.9.1,3.19.6,absent
v3amwoxcjyyrvp6po2k3cbf57pyenuyx,3.9.4,1.14.0,0.3.5,1.9.6,3.19.3,3.3.1
vhhdjszeuie6qektqru6sqvjoxhs3ikt,3.5.10,1.14.0,0.3.8,master,3.16.8,3.4
vio4shhyprml2wsrjprffolcncxobmqq,3.1.5,1.14.0,0.3.16,1.9.4,3.10.0,3.4.1
vkb5soebed3s2inqrc6x5u3xrwi2zlnc,2.7.10,1.14.0,develop,master,3.19.4,3.3
vpnkxg5gzv6i6wpqfis2x5sljwsscky7,3.1.5,absent,0.3.6,1.9.4,3.18.6,3.1
vq4sxjqomedbp7xz67j2zlixx7enu4mv,3.6.0,absent,0.3.8,master,3.11.1,3.0.4
vwhsxgr7mym3juv2yxxyd6jqdtiizqip,3.7.4,absent,0.3.6,1.7.3,3.9.0,3.1.3
vy3quyflztgfkcn6j75rdhqss5oucnah,3.6.4,1.6.2,0.2.18,1.9.5,3.10.0,3.2
w6ybkeo7gbzzam7li22d5g5qgvpvh3y2,3.7.6,1.14.0,0.2.19,develop,3.17.4,3.4.2
wn6r3h473nu542qfzgo7tfw7rvgtxa67,3.5.10,1.14.0,develop,1.9.1,3.9.0,3.3.2
wrlxhwutnrcvpy6xqri2zbpo2qvalymn,3.7.9,1.14.0,0.3.16,1.9.6,3.11.4,develop
wvrztuu5jgqglzobwfvvawjhkg52ctaw,3.8.2,absent,0.3.18,master,3.14.4,3.1.1
x5omkmhsgztghfu662kten3zq3mosziy,2.7.17,1.14.0,0.3.13,1.9.1,3.15.2,3.3.2
xfeuferrvzhawvruvgk24rrbncsdyrjh,3.8.4,1.14.0,0.3.14,develop,3.19.5,3.3.2
xoxu4p7mkecq3nuzuizddzdop2bknfpz,3.9.5,absent,0.3.4,1.9.6,3.15.1,3.1.1
xzxjy4v4rnkcijvlgq75doa6k4mxkvkf,3.6.9,1.6.2,0.3.7,develop,3.12.1,3.2
yexdwh5volrt7kl4pinoalsbgybks4td,3.1.5,1.14.0,0.3.15,1.9.2,3.14.2,3.3.2
yfmg4ukqhctut5l7mqwoce6qvzkoninf,3.6.14,1.14.0,0.3.8,master,3.19.8,3.3.1
yho47fgkmawigk4juwn3x46d2ihuoitl,3.7.10,1.14.0,0.3.14,develop,3.21.0,3.3
ykkwnvhahzzpzagfykvwu62umxhu57wm,3.8.4,1.6.2,0.3.18,1.9.5,3.11.0,3.2
yo4rowqjdkrl7bnmh2itv7qgpsqjnl3h,3.7.4,1.14.0,0.3.18,master,3.21.1,3.4
yrfoejot4qch6pl2kmoooiapaj3xgbyk,3.6.14,absent,0.3.18,develop,3.8.2,3.1
yzls62ef6zngnb2av4vorzoas7nepwhv,2.7.16,1.14.0,0.3.16,1.9.4,3.16.5,3.4.2
zd2pacim7ehm7h77ce3mecjfqnxvvass,3.9.0,1.6.2,0.3.10,1.9.6,3.18.5,3.2.1
zea3zl3qnkf55iypmwbgqlj2xpgeitzu,2.7.14,1.6.2,0.3.7,develop,3.8.2,3.2.1
zfkslktuql6s5mxdc7ncphxknxnjqqo6,3.8.1,1.14.0,0.2.20,develop,3.15.3,3.4.2
ziglijfnrlywt4gpd4wyq72pkplaxhts,3.9.1,1.14.0,0.3.7,master,3.20.0,3.4
zmag565gtb7mbwipkmkrvjlv4lny33cc,3.6.13,absent,0.3.16,1.9.5,3.9.0,3.1
