,python-version,libfabric-version,openblas-version,phist-version,cmake-version,mpich-version
iptoaoj5ac46xrnuyarisq2f4xb444tr,31.0,2.0,10.0,8.0,11.0,1.0
iq2apr4is74vnf6udva2bhwr7vleilbl,65.0,2.0,13.0,13.0,63.0,0.0
iuz5ifw62w5pkmqj2pleiqmzobjbsuib,5.0,1.0,12.0,4.0,7.0,6.0
iw2ljad4t63yrexl24xne3mf2s5h3qgx,59.0,2.0,4.0,8.0,6.0,13.0
izvtoeclgy2e6se7o3elhqwghr7qufri,50.0,2.0,2.0,12.0,57.0,0.0
j5s2fbv22n4vsst3lu3gigvifyk3nuiw,33.0,0.0,3.0,8.0,40.0,7.0
jdsndfrvjxc5nkcavvdvbswo4owrrwpp,11.0,2.0,6.0,13.0,48.0,0.0
jjjjx7ndqpcmqlyb7ygjy3wjne23yqck,39.0,0.0,6.0,5.0,40.0,7.0
jnlggmxbuhbvfkigamzli4lzs7faphip,48.0,1.0,7.0,3.0,22.0,5.0
jomyug7lpefsd5zb3w4frdbwlame47s4,62.0,2.0,14.0,5.0,22.0,0.0
jpbrgmhp2t37wwk2os3j2fkc4akf75u6,66.0,0.0,5.0,4.0,41.0,8.0
jqpzv2zaudzfrm7con46ltr25csmzwyv,23.0,2.0,12.0,12.0,31.0,1.0
jscnqwistegbqq5aa3hcmnbisha7joio,57.0,1.0,9.0,0.0,20.0,5.0
jt7gc3lwsqmdv7qq5ondeog73fqna35w,68.0,2.0,9.0,10.0,2.0,4.0
ju6xwagdzjwdshfuznklrft5tegat4n4,49.0,0.0,0.0,12.0,3.0,10.0
k6uebwffz44vq4wue77xro52lswy47g3,43.0,2.0,17.0,3.0,39.0,2.0
kekga4fe4ylqueiv7ximsjdr2blu5me6,49.0,0.0,0.0,6.0,38.0,12.0
kglist3khb52q6emdoumpwjmaxfi7wr2,64.0,2.0,14.0,10.0,53.0,3.0
kks5r2cyzondirwyhylnnkzc6xgunqmu,23.0,0.0,13.0,13.0,76.0,8.0
ksse73paxeqzg66bxok6jx3fipucis4e,65.0,2.0,5.0,13.0,24.0,2.0
ktncvtobws6fhcajsslp5yvs7mlsbpvk,43.0,1.0,19.0,0.0,41.0,5.0
kulmqzslkfng73ezkieif2htns6zltnh,40.0,0.0,2.0,6.0,39.0,12.0
l23b3pqdvihmvjuwnu7npc6pc4byzqin,64.0,0.0,15.0,9.0,18.0,9.0
l4lwenli7hangecs4z6qrxlgntr2hs44,9.0,2.0,14.0,3.0,64.0,4.0
lbis65w62pbgcivkeecfyyn4ug6pe3mn,32.0,2.0,19.0,5.0,68.0,2.0
lda7cksqsz7nkbp3s5apmlwguo2fjk2s,17.0,1.0,9.0,8.0,46.0,5.0
le3mgxvhffd2bjys267oj7yeovsxpy52,36.0,2.0,18.0,7.0,64.0,2.0
ljsyoqf6o4krlyfmfbwdkddylryh6cuw,26.0,2.0,2.0,3.0,58.0,1.0
lpapsbhnydko5sddaz3vpgasq7plls7i,48.0,0.0,18.0,13.0,14.0,11.0
lphmln656nztms2fwl5dfua4p4nthmxd,62.0,1.0,17.0,13.0,25.0,5.0
ltqtmqgw3ccnvp54bfi2j5vlums7k5vl,50.0,2.0,17.0,6.0,59.0,1.0
lutswxsnhtgrrzig5navlbpdx5ubjj3q,61.0,0.0,15.0,7.0,81.0,11.0
lz52q2qfghmjviryxu4bey7uz36uexdb,49.0,0.0,4.0,3.0,41.0,14.0
mlcnob2bwgahigqwdpcrbsqnqw55mjdy,31.0,0.0,3.0,4.0,8.0,14.0
mnw547kp3dolzxs5gcfmmtbu7uikqmsj,2.0,2.0,0.0,12.0,82.0,3.0
mtsh6onxyg2d2e4avuhiceg7emul47ru,64.0,2.0,21.0,5.0,16.0,13.0
mysurkxnmgchud5eniirpr6hqpzo35dq,41.0,2.0,5.0,13.0,28.0,3.0
mzu247a2nn43zmnlvhlyyykv7pcin7ze,34.0,2.0,0.0,0.0,0.0,4.0
n6ze53pogjx7im66brmmvdffiopdhtl3,28.0,2.0,15.0,10.0,16.0,3.0
nbf7spffsalbhjyjrtblbklb62l5ct65,67.0,2.0,1.0,8.0,18.0,2.0
nborjheg2jqyfzmek4aiijjasd2u6osb,22.0,2.0,20.0,8.0,30.0,4.0
nef4kddbpxrbtpusxkzlutprvl6qwjkr,59.0,0.0,19.0,12.0,75.0,8.0
nf5e4xa6d2pbz5ujts5a6ygchtvdsvbg,19.0,0.0,16.0,3.0,25.0,14.0
ngqmihf6nbv5mwl24eb73yi3ipgth37r,63.0,2.0,9.0,12.0,35.0,3.0
nhngkhf26vfa7nyuxrloulknmtxqpjf7,23.0,2.0,21.0,8.0,11.0,2.0
nj5r5mb7lvzzmonl4fzcy4fjb6q242uu,14.0,0.0,7.0,9.0,64.0,7.0
nkvsd5ri2kqwlslfmklhcugviuz4rws7,66.0,0.0,8.0,8.0,82.0,8.0
nlv3gpee3imxscmorj6qca6xv6eagywy,19.0,2.0,0.0,1.0,80.0,2.0
nmwby2b7qkft7r5t2f366aigkzu2u2l3,65.0,0.0,17.0,4.0,53.0,12.0
noquftl6qxlmpzk6ikweogc3yganqhy7,57.0,0.0,2.0,13.0,56.0,7.0
nqbanr6yu7mlb3z7nb5zlldonbgzubsp,61.0,1.0,18.0,5.0,41.0,5.0
nugcazuruhfkq3jrghfaruvoyzzd3lbi,36.0,0.0,13.0,9.0,35.0,11.0
nx7hzqualq3o5hhvexd3tas5ydgunqeh,15.0,1.0,21.0,10.0,47.0,5.0
o4havdcueblbvosbv2rpkeavjuo7p6i4,27.0,0.0,11.0,13.0,73.0,7.0
o62goaeexpnfclyjqophf7pxbh2rcot6,23.0,2.0,4.0,11.0,19.0,0.0
oawkfgfy677wa4kbdyojzrmnrob7ddw6,61.0,2.0,21.0,0.0,38.0,2.0
obhsdqrizrzzoz76xssdx3i22h5j4v2i,27.0,0.0,6.0,13.0,54.0,11.0
