,plasma-version,cmake-version,openblas-version
jpptw6szptkm3p5ma3h5kwih7pk6zhou,19.8.1,3.11.3,0.2.20
jq6qezyoqaymjutko72347fdllei5h33,19.8.1,3.13.2,0.3.15
jyw5wj4aglhu2uypmzshujqidxb6sl6x,19.8.1,3.12.2,0.3.5
kcyzhol2v4svpfcrszfnfv22lyrjn4pb,21.8.29,3.16.2,0.3.16
ke6fja7epxh7eobbvnvny77kylsswx4r,18.11.1,3.16.0,0.2.20
kfirxkqqljkxkwcfln3zcimzb27regok,20.9.20,3.15.4,0.3.12
kgquxyfyi4qhbxmgcrpfdp5z5mbetyg3,17.1,3.7.2,0.3.7
khnx6ynj72qpbngs54tlgfmyrxgk43il,21.8.29,3.12.2,0.3.5
krtspxnofw6za6qqwpcegsn4jtpsvh4w,19.8.1,3.10.1,0.3.17
kv4mtowzirzse4v3pjgi5qtefu7cv2cg,20.9.20,3.15.3,0.3.17
kxssseoiomimythnhxgycpfleyjuqdm4,20.9.20,3.18.1,0.2.18
l3x37qo3p55bslno7hea5hq2353x37ge,21.8.29,3.14.3,0.2.19
lhs7ybg7ql7xgeuh7o3sg6wezdrtgiom,18.11.1,3.15.0,0.3.5
lkcpgkqdzaeokrgafqkedyskdadbmtuf,20.9.20,3.12.2,0.2.20
lmedqn32cgrf64r25i6ozrdbn7st6yzj,20.9.20,3.19.8,0.3.8
lszi4wfoex4n7qx6efro7ozuqoi5g55f,21.8.29,3.12.3,0.3.4
lunksnfvkhvbalu2frxkasc4tot4fkqt,21.8.29,3.22.1,0.3.18
lv5hra4gcxomkz4fh7iqz3z3wqw4uuwl,21.8.29,3.16.3,0.2.18
lwttcdwmreguxe6k3t6nlgrekhukhdix,21.8.29,3.16.5,0.3.18
lyrsqeuehg7bw3ti5bjevcblv5qjmruy,17.1,3.18.6,0.3.15
m7r23xthnftuezyjxzgvrfo5n5mtmd6q,21.8.29,3.14.2,0.3.14
m7smo7sx23k3jxd5obwqe4rizxvc4odw,19.8.1,3.21.1,0.3.14
ma7qwua7mxyqd2deo33iseha5yyvh4wy,18.11.1,3.14.0,0.3.8
mcmlrnvlefs2muhpw522rqapkkzru4di,17.1,3.14.1,0.2.15
md5trntwo535x5gnbz2m7agmaz6glc6q,21.8.29,3.14.0,0.3.5
mdhwwhbu4x4pdxwf4nyq5feymhwvdu4r,17.1,3.5.0,0.2.19
mewgynniisdq3ht33t7wa6v3daznvmcf,18.11.1,3.19.7,0.3.12
mjdwdsnhetmjivf72cv4bcylilu26lf7,21.8.29,3.12.1,develop
mlql3nv634457iug3fungi5fhtrkrvwv,21.8.29,3.21.1,0.2.16
mmkvswp6gz2aajlpunzmug57tobiu2tf,19.8.1,3.19.5,0.2.17
mmz4qwophdti742tcgskxkya4jsrylwb,21.8.29,3.15.3,0.3.14
mnz4c56huwnicjifziaf5tzotnyip6dw,20.9.20,3.17.1,0.2.16
mq6adijnh2n3z2gobcnuqevwx23od4pl,21.8.29,3.19.2,0.3.9
mqsu4zlltgre66xjaqvtjtmvlxoe435z,18.11.1,3.9.2,0.2.20
mqu2ycppdzvp2iyztp2nyidkbt2umq4s,19.8.1,3.20.5,0.2.16
msb5n3aqogbpoxraq6yrtpiupsgf222a,17.1,3.20.2,0.3.15
mtr3nm6blugsac4eusism2ip6tznls5f,17.1,3.8.1,0.2.16
muc5jlunry4g2kuxi3ck5ux3g32espfn,21.8.29,3.16.0,0.2.18
mzmkb7urrqkew2bg44xst3cr3oox773v,18.11.1,3.22.1,0.2.20
n3g6zgdjkhkxyie2fnady5vpamk5eth5,19.8.1,3.16.7,0.3.18
n3vexssx6h72c7sdmoqextfl5zdkbwmz,17.1,3.18.6,0.2.18
n5hf3k2ga7diadd5c3jn53nartuspmmb,17.1,3.16.5,0.3.12
neh54gllwstfwas7qftaixf7ec2q2mqx,21.8.29,3.14.7,0.3.5
nfjq5yfs6z5wql27adgifj6zttp5i4gv,21.8.29,3.21.0,0.3.18
nfpprpxe3kpikxb6hcrbgyke7du6vg7t,17.1,3.15.7,0.3.14
nhmiesiwvtecyfdqpgyohfoo5ww4d65t,17.1,3.18.5,0.3.17
ni2w5odyey5732xgtu2taimemo3xttu7,21.8.29,3.15.4,develop
