,cmake-version,kokkos-version
xxgma3hoxechguriifj3cr2leeiitvyn,3.19.1,3.4.00
y4ek3o6fbhiuq4v44suykrw67gt7xoc3,3.20.5,3.1.00
yjb62m4h6csybjfhuyjkzu4wx774tlxt,3.18.1,master
yn7b2dsaxkmaukxodcgvwpstcdw3kih6,3.19.2,3.0.00
yzk3isuxphgprgozt25g3bbt6xgvp4wt,3.14.1,3.3.01
zdohrxfxhrnyrbl3mpb5sa2n7guwhwf3,3.21.2,master
zgkp6aiyv7povgxtezkrgkgdlfdgiff3,3.20.0,3.1.01
zhygi76rg65ruphlm7tj5ai5zm2bvhbj,3.21.0,3.4.00
zigahcieltadelh3uykzhxz4kakw43ab,3.13.2,3.0.00
zn3m7m66tcya34ll3anrggyqxd2hzaq6,3.16.4,3.4.01
zp4irow2qv3mqvdkqkyhqf5scxbys3qn,3.16.0,3.2.00
zpp2ulakcaozngmgqncgwtqwxwcj5ggp,3.19.2,3.1.01
zvc75gzy2ylh6anbnmzrsvxmbsxxfdad,3.18.2,3.1.00
zyctcsjucvyfjk43fv4y54qpibc42xxs,3.20.1,master
zyiqfshzhdxhpy3un2yywtfhx4wyu3jg,3.11.1,3.2.00
24ssxcmbew5fsb7vfl4h4tvvg3r5lho7,3.15.1,3.4.00
2gu2rvzb63pn5kea4c3nfgjjylh7df5y,3.18.5,3.2.00
2j4sqk6m6owwxwn3wefy2j6jqggjc4gr,3.14.7,3.2.00
2ktjajdy4tsswuarltcaw6suf67fspac,3.12.0,3.3.01
2ktv3o4wmq6tbw3lkgkrmwshyd3rcmmm,3.13.1,3.4.01
2liv36ipnc6mjnfft2w3haqvaxhe22uc,3.14.4,3.3.01
2qk7jfbe54xg62lkzd2potgysowcwhsg,3.15.7,develop
2yi2z2oidkf6odv36fxwb5ifqygh7lnh,3.15.5,3.1.01
2zgkjjmr65yyhxnmxz7gbio54etkl77m,3.14.6,develop
3bvgytqvguuef2lp62djwj45mb5zqghh,3.14.6,3.4.00
3dk3xqqaehgodcyz5s643lswh5o4qdtk,3.13.4,3.3.01
3go6j32s6xxctvmoc6uoxaim4c7q7aga,3.13.5,develop
3ohvqpfxxgwgzxzdnlc4ej4a365pdyw6,3.17.5,3.4.00
3oxru26ytigfes5bqpnpbc4opstjtkd3,3.18.3,develop
46yfy4ntvumhns3maxh3xylmtl4dx2sd,3.15.6,3.4.01
4cwkp7fmngs3j5um2rgryuvwdq23c5g2,3.16.0,3.4.01
4rbtjwxpak5rsihzs47sq4on4yda34k7,3.15.0,master
