,superlu-version,cmake-version,openblas-version
nlr3lxqd4tusinlo2bf4hkajv76ffryt,3.0,78.0,9.0
nlrxjvhoriauqzulndbeuva76lhkzpb6,3.0,84.0,11.0
noe5nqgtpjndo2p2yv7ri7dup2hxvtna,3.0,61.0,10.0
noqmrosyugc26sb7ixsxjorkakrexvjj,4.0,23.0,14.0
noxrxuczg5pf7mqhhsic7wgy6r4n7ltf,2.0,53.0,3.0
np4usw6c7uhje5hoibmupjnefzu62j4c,4.0,95.0,7.0
nphyrdyzzkwujtelaswzccxoableu2zt,2.0,0.0,8.0
nrrssxdim4soyr4zbpd7eywk7x2xyt5b,4.0,79.0,3.0
nrw2r7clwkjsjugzwmbjgxuqiglrgnzc,2.0,47.0,20.0
nsulsoxnsiefv2gydoe75kpaljiwlwih,4.0,67.0,16.0
ntaix4fqu7ebs54wdo7g3kniqysn4b7o,4.0,13.0,8.0
nykyocpyovnwq7lzuwdlcyvfcfd2sxur,3.0,42.0,12.0
nyszo3j7ff7f4nqe56xt6npi5yjfz6yj,3.0,36.0,3.0
o37r7qgchojckfk7tihas2garkdoyd74,2.0,22.0,16.0
o3oq6qwlp7v5jrmsa4louuulxflt4vrx,3.0,74.0,4.0
o6zifzhjre5wfxbvbbvmk26z2yowsaiq,4.0,72.0,14.0
o76ipzgoy222f2gxodmpo5c775gijs7m,3.0,63.0,5.0
oajkmrijspsgqvaqcyf3qbk3d7gr3h7l,3.0,30.0,4.0
ockkw6ftqwlmkwxeirzl5b4mh2vjgeyv,3.0,48.0,0.0
ofa5sxmqzibu3uo764bf5zivbwv3ptk5,4.0,57.0,4.0
omd5okxnywmjtu7proguxk3etwxxw5gz,2.0,54.0,17.0
onkem6ij3cgav5lcktyvkxpo27yym4ww,4.0,66.0,1.0
op7a2wtyfi47pflwvdqebyqygltyhdnq,4.0,31.0,13.0
opoptligbswffajylhzcmwttkv5ucxjr,4.0,69.0,7.0
oqai5vaxv4w6fnpsemmtttae6ekhhdwm,4.0,57.0,2.0
oqhpcwutkyol5mk2qlbh6he4d64az7ma,4.0,5.0,14.0
os4egjrczswh5hv6muftqdhxyvf6th4z,3.0,54.0,20.0
oscogdxpgjeyrf2i37iy6hzenz2oecsu,2.0,8.0,9.0
otogfwhv5ys2gr2wllk7ubx4it65wfco,2.0,2.0,3.0
ou6bqdwhh4mllqts6k2isorup3rfnryi,4.0,60.0,7.0
ow5axgg5exem2w6sprhoodzcnoztgtdx,3.0,74.0,7.0
oxgmdvyll5q6agtr4ams2kbz24vkt5i4,3.0,64.0,2.0
oyztlb6epvfjx6fsc3fdod4secdcehfx,3.0,6.0,20.0
ozavvbo5hqrt7njexfscqc5bcz5elil6,2.0,79.0,7.0
p3npizpbdvzd3phu27gk2nhedrkttntl,3.0,16.0,8.0
p4asmsrczkcoufa7ots5xg7gfvgtv6fi,3.0,85.0,6.0
p5dwivgzwvrungttfdbh2y2y76sc6ajb,4.0,3.0,21.0
p7z4s3ti5mp5owyao3tvv6nz6uykbu6m,4.0,20.0,21.0
pgzu7d6g2ypxxkyxgic2skxbcnxbbwea,3.0,21.0,17.0
phbamfk6ncbt7kb56osg53im2kq4m3ef,4.0,7.0,5.0
pmex3gt7pxn4tvvan34yxe2ocj45udy5,4.0,18.0,14.0
pq2wrfg6mixr4fhifmin4ukpv7asg2dk,4.0,44.0,3.0
preadvk4cnuzbjt4xr7ds5lwhbzs4a3f,4.0,12.0,7.0
